,Nombre,Precio,Link,Descripcion
0,Free tour por Budapest,0.0,https://www.civitatis.com/es/budapest/free-tour-budapest/,Nuestro free tour por Budapest es la mejor visita a pie para conocer la Perla del Danubio con un guía local. ¡Ideal si acabáis de llegar a la capital húngara!
1,Visita guiada por la Ópera de Budapest,26.0,https://www.civitatis.com/es/budapest/visita-guiada-opera-budapest/,"Destapad vuestro lado más musical en esta visita guiada por la Ópera de Budapest. Además, podréis deleitar a vuestros oídos con un concierto en directo."
2,Free tour por el Budapest histórico,0.0,https://www.civitatis.com/es/budapest/free-tour-budapest-contemporaneo/,Recorred la parte sur de la capital húngara y descubrid su historia con este free tour por el Budapest histórico. ¡Os sorprenderá!
3,Free tour por el castillo de Buda,0.0,https://www.civitatis.com/es/budapest/tour-castillo-buda/,En este free tour por el castillo de Buda visitaremos uno de los monumentos más famosos de Budapest. Os desvelaremos los secretos de la antigua residencia real.
5,Tour privado por Budapest con guía en español,275.0,https://www.civitatis.com/es/budapest/tour-privado-budapest/,Reservando el tour privado tendréis un guía en exclusiva para descubrir Budapest.  ¡La forma más personalizada de conocer la capital de Hungría!
6,Free tour nocturno por el castillo de Buda,0.0,https://www.civitatis.com/es/budapest/free-tour-nocturno-castillo-buda/,En este free tour nocturno por el castillo de Buda descubriremos los secretos mejor guardados de esta impresionante fortaleza bajo el cielo estrellado.
7,Free tour de la II Guerra Mundial,0.0,https://www.civitatis.com/es/budapest/free-tour-ii-guerra-mundial/,"En este free tour reviviréis el Sitio de Budapest, una de las grandes batallas de la Segunda Guerra Mundial, y descubriréis la historia de este conflicto."
8,Entrada a la Basílica de San Esteban,8.0,https://www.civitatis.com/es/budapest/entrada-basilica-san-esteban/,Con esta entrada a la Basílica de San Esteban descubriréis a vuestro ritmo el edificio religioso más grande de Hungría. ¡Un plan imprescindible en Budapest!
9,"Autobús turístico de Budapest, Big Bus",34.2,https://www.civitatis.com/es/budapest/autobus-turistico-budapest/,El autobús turístico de Budapest es una forma práctica de visitar la Perla del Danubio. Podéis subir y bajar cuando queráis para explorarla a vuestro aire.
10,Tour teatralizado de los misterios y leyendas del barrio de Buda,21.0,https://www.civitatis.com/es/budapest/tour-misterios-leyendas-budapest/,Vampiros y asesinos en serie atemorizaron a Budapest. Descubriremos su historia en este tour teatralizado de los misterios y leyendas del barrio de Buda.
11,Tour gastronómico por el Mercado Central de Budapest,36.0,https://www.civitatis.com/es/budapest/tour-gastronomico-mercado-central-budapest/,Conoced y saboread los productos más típicos de la cocina húngara en este tour gastronómico por el Mercado Central de Budapest.
12,Free tour gastronómico por Budapest,0.0,https://www.civitatis.com/es/budapest/free-tour-gastronomico-budapest/,Acompañadnos a descubrir la cocina húngara y a explorar los rincones más deliciosos de la capital del país en este free tour gastronómico por Budapest.
13,Visita guiada por la Sinagoga de Budapest,59.0,https://www.civitatis.com/es/budapest/visita-guiada-sinagoga-budapest/,"Si estáis en la capital de Hungría no podéis perderos esta visita guiada por la Sinagoga de Budapest, considerada como el templo hebreo más grande de Europa."
14,Budapest Card,39.0,https://www.civitatis.com/es/budapest/budapest-card/,"La Budapest Card ofrece transporte público ilimitado, entrada a los museos más importantes de la ciudad y descuentos para las demás atracciones turísticas."
15,Excursión privada desde Budapest,450.0,https://www.civitatis.com/es/budapest/excursion-privada-budapest/,Descubre las joyas patrimoniales cercanas a Budapest y sus paisajes de cuento con una excursión privada. Dispondréis de un guía en español en exclusiva.
16,Tour en bicicleta por Budapest,33.0,https://www.civitatis.com/es/budapest/tour-bicicleta-budapest/,Explora la perla del Danubio sobre ruedas con este tour en bicicleta por Budapest. Podrás contemplar los tesoros húngaros de una forma diferente.
17,Entrada a Gastro Cellar,23.0,https://www.civitatis.com/es/budapest/visita-guiada-museo-palinka/,"Adentraos en la tradición húngara con esta entrada a Gastro Cellar, donde podréis degustar la bebida alcohólica más típica del país."
18,Entrada al Madame Tussauds de Budapest,31.7,https://www.civitatis.com/es/budapest/entrada-madame-tussauds-budapest/,Con vuestra entrada al Madame Tussauds de Budapest podréis conocer a algunas de las celebridades más famosas del mundo y a destacados personajes húngaros.
