,Nombre,Precio,Link,Descripcion
57,Excursión a Como y Bellagio + Paseo en barco,82.1,https://www.civitatis.com/es/milan/excursion-como-bellagio-madonna-ghisallo/,"Dos de las localidades más bonitas del norte de Italia protagonizan esta excursión a Como y Bellagio desde Milán. Además, daremos un paseo en barco."
58,Alpes Suizos y St. Moritz en tren,149.0,https://www.civitatis.com/es/milan/excursion-alpes-suizos/,En esta excursión a St. Moritz haréis una de las rutas en tren más bonitas del mundo. Pasaréis por el estrecho de Bernina y atravesaréis los Alpes Suizos.
59,"Excursión al lago Como, Lugano y Bellagio",94.7,https://www.civitatis.com/es/milan/excursion-lago-como-lugano-bellagio/,"En esta excursión al lago Como, Lugano y Bellagio desde Milán recorremos los preciosos paisajes alpinos del norte de Italia y el sur de Suiza. ¡Os cautivará!"
60,Excursión al lago Como,82.1,https://www.civitatis.com/es/milan/excursion-lago-como/,"En esta excursión al lago Como desde Milán nos adentraremos en la región de los lagos, a los pies de los Alpes italianos. Podréis visitar Bellagio o Brunate."
62,Excursión en tren a Venecia y Verona,149.0,https://www.civitatis.com/es/milan/excursion-venecia-verona/,Esta excursión en tren a Venecia y Verona desde Milán es el plan perfecto para visitar la plaza de San Marcos y descubrir la bella ciudad de Romeo y Julieta.
63,Tour privado por Milán con guía en español,220.0,https://www.civitatis.com/es/milan/tour-privado-milan/,"Reservando el tour privado por Milán tendréis un guía a vuestra disposición para descubrir la ciudad en exclusiva. Además, podréis modificar el itinerario."
64,Autobús turístico de Milán,25.0,https://www.civitatis.com/es/milan/autobus-turistico-milan/,A bordo del autobús turístico de Milán recorreréis los puntos más interesantes de la ciudad y podréis subir y bajar en todas las paradas las veces que queráis.
65,Free tour por Navigli,0.0,https://www.civitatis.com/es/milan/free-tour-navigli/,No podéis iros de Milán sin conocer sus famosísimos canales. En este free tour por Navigli recorreremos este animado barrio repleto de terrazas.
66,Excursión al lago de Garda y Verona,115.0,https://www.civitatis.com/es/milan/excursion-lago-garda-verona/,"En esta excursión a Verona reviviréis la pasional historia de Romeo y Julieta. Además, visitaremos lugares tan románticos como el lago de Garda y Sirmione."
67,Free tour de los misterios y leyendas de Milán,0.0,https://www.civitatis.com/es/milan/free-tour-misterios-leyendas-milan/,En nuestro free tour de los misterios y leyendas de Milán recorreremos los monumentos de la ciudad para descubrir la cara oculta de la capital de Lombardía.
68,Tour de Milán al completo con entradas,49.0,https://www.civitatis.com/es/milan/tour-completo-milan-entradas/,"Descubrid Milán al completo con este tour por la capital de Lombardía. Conoceréis el teatro La Scala, el famoso Duomo y la Última Cena de Leonardo Da Vinci."
69,Free tour del arte por Milán,0.0,https://www.civitatis.com/es/milan/free-tour-arte-milan/,¿Queréis conocer el lado más artístico de Milán? Seguiremos los pasos de genios como Leonardo da Vinci y pasearemos por los barrios más bonitos de la ciudad.
70,Tour por las terrazas del Duomo,45.0,https://www.civitatis.com/es/milan/tour-terrazas-duomo/,Subir a las terrazas del Duomo es una de las experiencias que no podéis perderos si estáis en Milán. ¡Obtendréis las mejores vistas de la capital de Lombardía!
71,Excursión a Mónaco y Niza,199.0,https://www.civitatis.com/es/milan/excursion-monaco-niza/,Acompañadnos en esta excursión a Mónaco y Niza desde Milán para descubrir la opulencia y la belleza de dos de los destinos más exclusivos de la Costa Azul.
72,Entrada al Museo Leonardo3,15.0,https://www.civitatis.com/es/milan/entrada-museo-leonardo3/,"Con la entrada al Museo Leonardo3 de Milán descubriréis el mundo de Leonardo da Vinci, uno de los artistas e inventores más influyentes de la historia."
73,Visita guiada por el Castillo Sforzesco,49.9,https://www.civitatis.com/es/milan/visita-guiada-castillo-sforzesco/,"Adéntrate en el Castillo Sforzesco, uno de los monumentos más emblemáticos de Milán. Descubrirás su historia, así como los museos que alberga en su interior."
74,Excursión a las Cinque Terre,130.5,https://www.civitatis.com/es/milan/excursion-cinque-terre/,"Enclavados entre las montañas y la costa de Liguria, los cinco pueblos Patrimonio de la Humanidad de las Cinque Terre os conquistarán de principio a fin."
75,Excursión a Florencia y Pisa,169.0,https://www.civitatis.com/es/milan/excursion-florencia-pisa/,En esta excursión a Florencia y Pisa desde Milán dejaremos atrás la capital lombarda para emprender un viaje al corazón de la Toscana. ¡Os vais a enamorar!
76,Entrada al Museo Nacional de Ciencia y Tecnología Leonardo da Vinci,10.0,https://www.civitatis.com/es/milan/museo-ciencia-tecnologia-leonardo-vinci/,Con la entrada al Museo Nacional de Ciencia y Tecnología Leonardo da Vinci podréis visitar la exposición permanente más grande dedicada al genio florentino.
77,Excursión a Venecia,109.6,https://www.civitatis.com/es/milan/excursion-venecia/,"Canales, góndolas, palacios e historia. En esta excursión a Venecia desde Milán en un día descubriremos la esencia de una de las ciudades más bellas de Italia."
78,Tour privado en Fiat 500 por Milán,60.0,https://www.civitatis.com/es/milan/tour-fiat-500-milan/,En este tour privado en Fiat 500 por Milán tendréis la oportunidad de explorar la capital lombarda de una forma cómoda y de lo más original. ¿Os apuntáis?
79,Excursión a Interlaken en el Tren Verde de los Alpes suizos,139.0,https://www.civitatis.com/es/milan/excursion-interlaken-tren/,"Dejaos seducir por los hermosos paisajes de Suiza en esta excursión a Interlaken. Para ello, partiremos desde Milán a bordo del famoso Tren Verde de los Alpes."
80,Tour nocturno por Milán,44.0,https://www.civitatis.com/es/milan/tour-nocturno-milan/,Dejaos seducir por la magia de la capital de Lombardía haciendo nuestro tour nocturno por Milán. ¡Sus calles y monumentos son aún más bonitos de noche!
