,hotel_name,price,rating,distance_from_center,acc_type,city,date_in,date_out,day_in,day_out
0,IntercityHotel Budapest,1046.7,8.9,1.95,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
1,Carlton Hotel Buda Castle,994.495238095238,8.7,1.30,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
2,Minimalistic Apartment & Studio in Heart street,597.588608695652,8.7,1.65,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
3,Cosy Home in the heart of Budapest - Dorotea,763.928782608696,9.5,0.55,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
4,Tabán Art Appartmann,849.15,9.5,1.35,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
5,Corvin Plaza Apartments & Suites,871.958476190476,8.4,1.55,Aparthotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
6,The Rose Garden Apartments,1011.97895238095,8.9,1.55,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
7,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
8,Boutique Apartment,1660.5,9.7,0.15,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
9,Novak Apartment,921.06,9.6,1.10,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
10,RES City Residence Hotel Budapest,753.034285714286,8.2,1.65,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
11,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
12,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
13,Nova City Apartments,986.751047619048,9.0,1.40,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
14,D8 Hotel,1125.13952380952,8.9,0.55,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
15,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
16,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
